,Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline
2237,2236,81796,Lockout,2012-04-12,"['Action', 'Thriller', 'Science Fiction']",English,5.9,1665.0,29.951,"Set in the near future, Lockout follows a falsely convicted ex-government agent , whose one chance at obtaining freedom lies in the dangerous mission of rescuing the President's daughter from rioting convicts at an outer space maximum security prison.",20000000.0,"['EuropaCorp', 'Canal+', 'Ciné+', 'FilmDistrict', 'Digital Factory']",32948113.0,95.0,Take no prisoners.
2239,2238,4929,Hang 'em High,1968-07-31,['Western'],English,6.8,640.0,29.948,"Marshall Jed Cooper survives a hanging, vowing revenge on the lynch mob that left him dangling. To carry out his oath for vengeance, he returns to his former job as a lawman. Before long, he's caught up with the nine men on his hit list and starts dispensing his own brand of Wild West justice.",1800000.0,"['United Artists', 'Malpaso Productions', 'Leonard Freeman Production']",6800000.0,114.0,The hanging was the best show in town. But they made two mistakes. They hung the wrong man and they didn't finish the job!
2241,2240,378236,The Emoji Movie,2017-07-23,"['Animation', 'Family', 'Comedy']",English,5.5,2767.0,29.946,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",50000000.0,"['Columbia Pictures', 'Sony Pictures Animation', 'Beaver House Studios (KR)']",216909830.0,86.0,Not easy being meh
2242,2241,340102,The New Mutants,2020-08-26,"['Science Fiction', 'Horror', 'Action', 'Mystery', 'Adventure']",English,6.2,3028.0,29.946,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",67000000.0,"['20th Century Studios', 'Genre Films', 'Sunswept Entertainment']",49169594.0,94.0,It's time to face your demons.
2243,2242,12279,Spy Kids 3-D: Game Over,2003-07-25,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",English,5.1,1976.0,29.937,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.",38000000.0,['Dimension Films'],197011982.0,84.0,3rd Mission. 3rd Dimension.
2245,2244,70160,The Hunger Games,2012-03-12,"['Science Fiction', 'Adventure', 'Fantasy']",English,7.2,20314.0,29.914,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",75000000.0,"['Lionsgate', 'Color Force']",694394724.0,142.0,May The Odds Be Ever In Your Favor.
2246,2245,350499,Pokémon the Movie: Hoopa and the Clash of Ages,2015-07-18,"['Family', 'Adventure', 'Animation', 'Action', 'Fantasy']",Japanese,6.8,236.0,29.909,"Ash, Pikachu, and their friends come to a desert city by the sea. Here they meet the Mythical Pokémon Hoopa, which has the ability to summon things—including people and Pokémon—through its magic rings. After a scary incident, they learn of a story about a brave hero who stopped the rampage of a terrifying Pokémon long ago. Now, the threat that has been bottled up for years is in danger of breaking loose again.",150000000.0,"['Shogakukan-Shueisha Productions', 'OLM', 'TV Tokyo', 'The Pokémon Company', 'Shogakukan', 'TakaraTomy', 'East Japan Marketing & Communications', 'Pikachu Project']",0.0,73.0,A power unbound. A battle of legends.
2247,2246,467938,Revenge,2017-01-25,"['Action', 'Thriller', 'Horror']",French,6.4,1529.0,29.906,Jen's romantic getaway with her wealthy married boyfriend is disrupted when his friends arrive for an impromptu hunting trip. Tension mounts at the house until the situation culminates in an unexpected way.,2900000.0,"['M.E.S. Productions', 'Monkey Pack Films', 'Charades', 'Logical Pictures', 'Nexus Factory', 'uMedia']",692079.0,109.0,Why do women always have to put up a fight?
2248,2247,509967,6 Underground,2019-12-13,"['Action', 'Comedy', 'Thriller']",English,6.3,4242.0,29.898,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",150000000.0,"['Skydance', 'Bay Films']",0.0,128.0,They say no one can save the world. Meet no one.
2249,2248,262504,Allegiant,2016-03-09,"['Adventure', 'Science Fiction', 'Action', 'Mystery']",English,6.1,6140.0,29.883,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,110000000.0,"['Mandeville Films', 'Summit Entertainment', 'Lionsgate', 'Red Wagon Entertainment']",179246868.0,120.0,Break the boundaries of your world
2250,2249,928344,Weird: The Al Yankovic Story,2022-09-08,"['Music', 'Comedy']",English,6.8,217.0,29.871,"Exploring every facet of ‘Weird Al’ Yankovic’s life, from his meteoric rise to fame with early hits like ‘Eat It’ and ‘Like a Surgeon’ to his torrid celebrity love affairs and famously depraved lifestyle, this biopic takes audiences on a truly unbelievable journey through Yankovic’s life and career, from gifted child prodigy to the greatest musical legend of all time.",12000000.0,"['Tango Entertainment', 'Funny or Die', 'Ear Booker Productions', ""Famous Andy's""]",0.0,108.0,The world belongs to the weird.
2251,2250,9739,Demolition Man,1993-10-08,"['Crime', 'Action', 'Science Fiction']",English,6.7,3221.0,29.869,"Simon Phoenix, a violent criminal cryogenically frozen in 1996, escapes during a parole hearing in 2032 in the utopia of San Angeles. Police are incapable of dealing with his violent ways and turn to his captor, who had also been cryogenically frozen after being wrongfully accused of killing 30 innocent people while apprehending Phoenix.",57000000.0,"['Silver Pictures', 'Warner Bros. Pictures']",58055768.0,115.0,The future isn't big enough for the both of them.
2252,2251,411840,Surf's Up 2: WaveMania,2017-02-03,"['Animation', 'Family', 'Comedy']",English,6.2,225.0,29.863,"Cody, Chicken Joe and Lani are back in their most epic adventure yet! The most radical surfing dream team, The Hang Five puts Cody and his friends to the test and teaches them the meaning of teamwork as they journey to the most legendary surfing spot on the planet.",0.0,"['Sony Pictures Animation', 'WWE Studios', 'Rainmaker Entertainment']",0.0,84.0,Starring your favorite WWE Superstars!
2254,2253,8835,Legally Blonde,2001-07-13,"['Comedy', 'Romance']",English,6.7,3502.0,29.833,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school, but while there, she figures out that there is more to herself than just looks.",18000000.0,"['Marc Platt Productions', 'Metro-Goldwyn-Mayer']",141774679.0,96.0,Don't judge a book by its hair color!
2255,2254,393,Kill Bill: Vol. 2,2004-04-16,"['Action', 'Crime', 'Thriller']",English,7.9,12670.0,29.828,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",30000000.0,"['Super Cool ManChu', 'Miramax', 'A Band Apart']",152159461.0,136.0,The bride is back for the final cut.
2256,2255,257211,The Intern,2015-09-23,['Comedy'],English,7.2,6061.0,29.827,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",35000000.0,['Waverly Films'],194564672.0,121.0,Experience never gets old
2257,2256,254470,Pitch Perfect 2,2015-05-07,"['Comedy', 'Music']",English,6.9,5013.0,29.823,"The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.",29000000.0,"['Brownstone Productions', 'Gold Circle Films', 'Universal Pictures']",287506194.0,115.0,We're back pitches
2259,2258,9003,Hellraiser,1987-09-11,"['Horror', 'Thriller']",English,6.9,2160.0,29.81,"After tinkering with a box he bought while abroad, sexual deviant Frank inadvertently opens a portal to hell, where fetish-demons led by Pinhead tear his body apart. When Frank’s brother and his wife move into his house, a skeletal Frank appears to his sister-in-law and asks her to supply him with corpses for his regeneration.",1000000.0,"['New World Pictures', 'Cinemarque Entertainment BV', 'Film Futures', 'Rivdel Films']",14575193.0,93.0,He'll tear your soul apart.
2260,2259,628704,Midnight,2021-06-30,['Thriller'],Korean,7.1,180.0,29.808,A serial killer ruthlessly hunts down a deaf woman through the streets of South Korea after she witnesses his brutal crime.,0.0,"['Peppermint&company', 'Finecut', 'CJ Entertainment']",0.0,103.0,Silence kills.
2261,2260,1893,Star Wars: Episode I - The Phantom Menace,1999-05-19,"['Adventure', 'Action', 'Science Fiction']",English,6.5,13270.0,29.803,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",115000000.0,['Lucasfilm Ltd.'],924317558.0,136.0,Every generation has a legend. Every journey has a first step. Every saga has a beginning.
2262,2261,119283,Parker,2013-01-23,"['Action', 'Crime']",English,6.0,2760.0,29.799,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",35000000.0,"['Incentive Filmed Entertainment', 'Sierra/Affinity', 'Alexander/Mitchell Productions', 'Current Entertainment', 'Sidney Kimmel Entertainment', 'Anvil Films']",46216641.0,118.0,"To get away clean, you have to play dirty."
2264,2263,706972,Narco Sub,2021-01-22,['Action'],English,6.7,257.0,29.786,"A man will become a criminal to save his family.  Director: Shawn Welling  Writer: Derek H. Potts  Stars: Tom Vera, Tom Sizemore, Lee Majors |",0.0,"['Welling Films', 'Deep Water Productions Motion Picture Group']",0.0,93.0,A man will become a criminal to save his family.
2265,2264,1645,A Time to Kill,1996-07-24,"['Crime', 'Drama', 'Thriller']",English,7.4,2140.0,29.768,"A young lawyer defends a black man accused of murdering two white men who raped his 10-year-old daughter, sparking a rebirth of the KKK.",40000000.0,"['Regency Enterprises', 'Warner Bros. Pictures']",152266007.0,149.0,Experience a time you'll never forget.
2266,2265,254320,The Lobster,2015-10-15,"['Comedy', 'Drama', 'Romance']",English,7.0,5438.0,29.753,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into animals and sent off into The Woods.",4000000.0,"['Scarlet Films', 'Haut et Court', 'Eurimages', 'Lemming Film', 'Element Pictures', 'Nederlands Fonds voor de Film', 'Greek Film Centre', 'Faliro House Productions', 'Limp Films', 'Film4 Productions', 'Protagonist Pictures']",15656193.0,118.0,An unconventional love story...
2268,2267,28178,Hachi: A Dog's Tale,2009-06-08,"['Drama', 'Family']",English,8.0,6134.0,29.745,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,16000000.0,"['Scion Films', 'Stage 6 Films', 'Inferno Distribution', 'Hachiko', 'Grand Army Entertainment', 'Opperman Viner Chrystyn Entertainment']",46749646.0,93.0,"A true story of faith, devotion and undying love."
2270,2269,10772,Django,1966-04-06,"['Action', 'Western']",Italian,7.2,779.0,29.737,A coffin-dragging gunslinger and a half-breed prostitute become embroiled in a bitter feud between a merciless masked clan and a band of Mexican revolutionaries.,0.0,"['Tecisa Film', 'B.R.C. Produzione Film']",17277.0,93.0,The movie that spawned a genre.
2271,2270,942,Lethal Weapon 2,1989-07-07,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",English,7.0,3010.0,29.725,"In the opening chase, Martin Riggs and Roger Murtaugh stumble across a trunk full of Krugerrands. They follow the trail to a South African diplomat who's using his immunity to conceal a smuggling operation. When he plants a bomb under Murtaugh's toilet, the action explodes!",25000000.0,"['Silver Pictures', 'Warner Bros. Pictures']",227853986.0,114.0,The magic is back!
2273,2272,11282,Harold & Kumar Go to White Castle,2004-05-30,"['Comedy', 'Adventure']",English,6.5,1823.0,29.702,"Nerdy accountant Harold and his irrepressible friend, Kumar, get stoned watching television and find themselves utterly bewitched by a commercial for White Castle. Convinced there must be one nearby, the two set out on a late-night odyssey that takes them deep into New Jersey. Somehow, the boys manage to run afoul of rednecks, cops and even a car-stealing Neil Patrick Harris before getting anywhere near their beloved sliders.",9000000.0,"['New Line Cinema', 'Senator International', 'Kingsgate Films', 'Endgame Entertainment']",23936908.0,88.0,Fast Food. High Times.
2274,2273,10315,Fantastic Mr. Fox,2009-10-23,"['Adventure', 'Animation', 'Comedy', 'Family']",English,7.8,4615.0,29.697,"The Fantastic Mr. Fox bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",40000000.0,"['Regency Enterprises', 'Indian Paintbrush', 'American Empirical Pictures']",46471023.0,87.0,Dig the life fantastic!
2275,2274,22970,The Cabin in the Woods,2012-04-12,"['Horror', 'Fantasy']",English,6.6,7125.0,29.682,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",30000000.0,"['Lionsgate', 'Mutant Enemy Productions']",71041255.0,95.0,You think you know the story.
